,Port Code
639,3127
640,3127
641,3127
642,3127
643,3658
644,3658
645,3658
646,2775
647,2775
648,4035
649,4035
650,2635
651,6893
652,6893
653,2194
654,2194
655,3099
656,3127
657,3127
658,3127
659,3658
660,3658
661,3658
662,3658
663,3658
664,2775
665,2775
666,2868
667,2868
668,1991
669,2635
670,2783
671,6893
672,6893
673,2194
674,2194
675,5629
676,5629
677,2824
678,2824
679,3658
680,3658
681,3658
682,3658
683,3658
684,2775
685,2775
686,2868
687,4406
688,7093
689,4460
690,2824
691,2824
692,2824
693,3658
694,3658
695,3658
696,3658
697,2868
698,4406
699,1991
700,3783
701,2724
702,2824
703,2824
704,2824
705,2824
706,3446
707,3446
708,3446
709,3446
710,7093
711,1991
712,3920
713,3868
714,4984
715,3446
716,3446
717,3446
718,3446
719,3446
720,7048
721,7048
722,7079
723,4406
724,5591
725,5591
726,3920
727,3920
728,3868
729,4984
730,4984
731,4984
732,4984
733,4984
734,2817
735,2817
736,3541
737,3541
738,3541
739,3541
740,3541
741,3541
742,4402
743,4402
744,7085
745,3502
746,3502
747,3920
748,3868
749,5260
750,4984
751,4984
752,2817
753,2817
754,4409
755,4409
756,3541
757,3541
758,3541
759,3541
760,4402
761,4402
762,7083
763,2814
764,7140
765,5260
766,3336
767,3397
768,3397
769,2817
770,2817
771,2817
772,4409
773,4409
774,2810
775,4591
776,4402
777,3040
778,4198
779,3336
780,2817
781,2817
782,2817
783,5956
784,5956
785,5956
786,5956
787,4727
788,7077
789,3851
790,3348
791,3335
792,25132
793,2679
794,3373
795,3609
796,3609
797,2817
798,2817
799,3628
800,3712
801,7049
802,1992
803,6058
804,7077
805,6848
806,2920
807,2620
808,4734
809,3685
810,3628
811,3628
812,3628
813,6061
814,6061
815,6295
816,1992
817,3854
818,4119
819,16816
820,3685
821,3101
822,3888
823,6024
824,6024
825,6295
826,6295
827,3274
828,7060
829,7060
830,7077
831,5622
832,2640
833,16807
834,4637
835,2906
836,3716
837,5681
838,3888
839,6024
840,6024
841,6024
842,3032
843,5402
844,3274
845,7060
846,2640
847,16807
848,3420
849,4637
850,4637
851,3885
