,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2
3007,29.0,-7.0,1565.120038986206,68.822914,4056,39.189082618389904,-6.15423,1130.6732331719252,,1859568.396478553,1301697877.5349872,0.21621356102104214,2243.4977000284625,5653614204.071726,141466936.02504072,599116676.6081959,48.6065882752704,205.85034529614936,Solar,383249955.2408214,7.664999104816428,9229.051741118948,3.1060277800322664,2.55871816408396,4.113773430802115,1.8323527258538475,1.8323527258538475,H2 Gas,4440.131814634618,,91617636.29269238,474867591.5335138,9.497351830670276
3008,29.0,-6.0,1603.4450459480286,108.3295,4056,39.189082618389904,-6.15423,1128.0235939791569,,1815121.6148934138,1270585130.4253898,0.3403271613670555,1425.3185814414048,3591802825.2323403,138085640.65621704,389116633.49669874,47.444809866495085,133.69648432963496,Solar,379868659.8719977,7.597373197439954,9229.051741118948,3.1049679243551593,2.557658308406853,4.1127135751250075,1.797586131083775,1.797586131083775,H2 Gas,4353.215327709438,,89879306.55418876,469747966.42618644,9.39495932852373
3009,29.0,-4.0,1472.044997215271,11.65128,4056,39.189082618389904,-6.15423,1154.586393746896,,1977145.9206069417,1384002144.4248593,0.03660357565291768,13252.110434927039,33395318296.01614,150411663.26139936,3424670514.8909693,51.67990481289106,1176.6816640907432,Solar,392194682.47718006,7.843893649543602,9229.051741118948,3.115593044262255,2.5682834283139484,4.123338695032103,1.7291787233321045,1.7291787233321045,H2 Gas,4182.196808330261,,86458936.16660523,478653618.6437853,9.573072372875707
3010,29.0,-3.0,1512.1950459480286,20.46098,4056,39.189082618389904,-6.15423,1183.0818912847114,,1924651.0355874137,1347255724.9111896,0.0642800644532477,7546.268520288698,19016596671.127518,146418107.25412232,1960165957.3428621,50.307759928339465,673.4929186767782,Solar,388201126.469903,7.76402252939806,9229.051741118948,3.126991243277381,2.579681627329075,4.134736894047229,1.6955853699006924,1.6955853699006924,H2 Gas,4098.213424751731,,84779268.49503462,472980394.9649376,9.459607899298753
3011,29.0,-1.0,1493.2150292396543,36.286438,2112,39.69643747232773,-4.075975175946951,1237.092788461278,1784.5255,1949114.9661653426,1364380476.3157399,0.11399720704574151,4255.144835882118,10722964986.422937,148279204.3283373,1115441251.090033,50.947213794864616,383.2541734514473,Solar,390062223.54411805,7.801244470882361,8986.417245455292,3.147976706996057,2.600379090333477,4.152736581628191,1.6297509632723857,1.6297509632723857,H2 Gas,3933.627408180964,,81487548.16361928,471549771.7077373,9.430995434154747
3012,29.0,3.0,1564.7550654411316,18.01797,2112,39.69643747232773,-4.075975175946951,1424.1142843421535,1824.7284,1860002.134182914,1302001493.9280398,0.05660512218460128,8569.447571966026,21595007881.354385,141499932.68393785,2222782834.358842,48.61792558884019,763.725384113038,Solar,383282951.8997185,7.66565903799437,8986.417245455292,3.2227853053484075,2.6751876886858272,4.227545179980542,1.5043517364791383,1.5043517364791383,H2 Gas,3620.129341197846,,75217586.82395692,458500538.72367543,9.170010774473509
3013,29.0,4.0,1598.700041770935,27.739822,2112,39.69643747232773,-4.075975175946951,1487.5991018693005,1885.8038,1820508.9667540302,1274356276.727821,0.08714722100708854,5566.151407469617,14026701546.823435,138495484.2319916,1451934117.1366217,47.58562791560737,498.8696710161726,Solar,380278503.44777226,7.605570068955445,8986.417245455292,3.2481792323592664,2.7005816156966858,4.2529391069914,1.4745129124450735,1.4745129124450735,H2 Gas,3545.532281112684,,73725645.62225367,454004149.0700259,9.080082981400519
3014,29.0,5.0,1620.235047340393,29.412193,2112,39.69643747232773,-4.075975175946951,1556.269174136412,1945.0049,1796312.06346975,1257418444.4288251,0.09240112945476515,5249.661229553901,13229146298.47583,136654701.29794973,1370701353.4339218,46.95315377929555,470.9589265644757,Solar,378437720.5137304,7.568754410274608,8986.417245455292,3.275647261266111,2.7280496446035305,4.280407135898245,1.445358254218608,1.445358254218608,H2 Gas,3472.6456355465198,,72267912.7109304,450705633.2246608,9.014112664493217
3015,29.0,7.0,1640.3099846839905,31.687489,2146,39.48660217328431,15.615416248328984,1488.6395155661455,2387.4742,1774327.8943429308,1242029526.0400515,0.09954918265310739,4872.713305502265,12279237529.865707,134982252.43652743,1273951047.170502,46.378517503832505,437.7165136431981,Solar,376765271.6523081,7.535305433046162,7505.075416566244,3.2444108680943193,2.6948659950163605,4.228983043700419,1.389281487241723,1.389281487241723,H2 Gas,3332.453718104307,,69464074.36208615,446229346.0143943,8.924586920287885
3016,29.0,8.0,1649.435019493103,62.95162,2146,39.48660217328431,15.615416248328984,1418.9497521028115,2415.3622,1764511.9248701627,1235158347.409114,0.19776834692357628,2452.7414746158506,6180908516.031943,134235501.13226914,652822766.9812275,46.12194141467709,224.30320711662688,Solar,376018520.3480499,7.520370406960998,7505.075416566244,3.2165349627089856,2.666990089631027,4.201107138315085,1.3624560416241194,1.3624560416241194,H2 Gas,3265.390104060298,,68122802.08120596,444141322.42925584,8.882826448585117
3017,29.0,9.0,1670.6050515174866,70.43315,2146,39.48660217328431,15.615416248328984,1354.616389128203,2072.7811,1742151.8979308351,1219506328.5515845,0.22127226660918792,2192.2070682378494,5524361811.95938,132534458.83313449,585952034.9758775,45.53748072728211,201.32710945325022,Solar,374317478.0489152,7.486349560978304,7505.075416566244,3.1908016175191425,2.6412567444411836,4.1753737931252415,1.3365080825318154,1.3365080825318154,H2 Gas,3200.5202063295383,,66825404.12659077,441142882.175506,8.822857643510119
