,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Direct Dist.,Driving Dist.,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,2923421.886697261,2046395320.6880827,1.4838692748841569,349.3622847871664,880392957.6636593,222399744.91004157,114553549.45994243,71.50087768221107,36.82863634268782,Wind,309093252.23476624,6.181865044695325,18102.52589737145,2.8484102326851257,2.2736233615704196,3.9186535328928276,,2.2736233615704196,LOHC,10545.794673160533,,113681168.07852098,422774420.31328726,8.455488406265744
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,2881898.7618301483,2017329133.2811038,1.1603646196107644,446.7629841841446,1125842720.1440444,219240867.1509554,139553149.92368734,70.48530757732252,44.86593591596474,Wind,334092852.6985112,6.681857053970224,18102.52589737145,2.8290185903204383,2.2578296517062304,3.9028598230286384,,2.2578296517062304,LOHC,10249.12038618622,,112891482.58531152,446984335.2838227,8.939686705676454
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,3388379.4563609026,2371865619.452632,3.0107168567383367,172.18755029678306,433912626.74789333,257771459.59745207,69078541.56008047,82.87278211626338,22.208552229008596,Wind,263618244.3349043,5.272364886698086,19891.94669074788,2.825594160932248,2.257830283407034,3.912405574718133,,2.257830283407034,LOHC,10865.163491197676,,112891514.1703517,376509758.505256,7.53019517010512
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,3113545.7522230637,2179482026.5561447,4.50224910442313,115.14421973890941,290163433.7420517,236863445.61183095,54437368.735890105,76.15091581570381,17.50145731912014,Wind,248977071.51071393,4.979541430214279,19793.37724826525,2.825478764476821,2.2576611876109625,3.9117334636368026,,2.2576611876109625,LOHC,11108.54346307045,,112883059.38054812,361860130.89126205,7.2372026178252415
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.160715337916,422.9948,2672240.5075966744,1870568355.317672,0.24317353421849724,2131.8436723183986,5372246054.242365,203291084.98917267,572058709.0555923,65.35749853298738,183.9152279593315,Solar,397830787.7639965,7.9566157552799295,19793.37724826525,2.825478764476821,2.2576611876109625,3.9117334636368026,,2.2576611876109625,LOHC,11105.610454233507,,112883059.38054812,510713847.1445446,10.214276942890892
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,2661391.3014019597,1862973910.9813719,0.2331130235683475,2223.8481242426615,5604097273.091507,202465730.0511254,595673267.8137171,65.092149296667,191.5072406118956,Solar,397005432.82594925,7.940108656518985,19885.3935041517,2.825586506799254,2.1742187938907227,3.828728025513567,,2.1742187938907227,LOHC,11769.188115117704,,108710939.69453613,505716372.5204854,10.114327450409707
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,2673917.3490119427,1871742144.3083599,0.7528427183742403,688.6006167642878,1735273554.2460053,203418650.94354525,201625026.50190705,65.39851062004574,64.82186552604497,Wind,396164729.2767309,7.9232945855346175,19793.37724826525,2.825478764476821,2.2576611876109625,3.9117334636368026,,2.2576611876109625,LOHC,11213.757852725166,,112883059.38054812,509047788.657279,10.18095577314558
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,2407281.011308843,1685096707.91619,0.8094902834755917,640.4128261715402,1613840321.9522815,183134252.80082247,189256783.56825656,58.87713501753889,60.845511032021065,Solar,377673955.5756463,7.553479111512925,20218.730165305515,2.8259726810006622,2.2583849464775816,3.9146102137735106,,2.2583849464775816,LOHC,12207.976530058768,,112919247.32387908,490593202.89952534,9.811864057990507
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,2260417.700614554,1582292390.4301877,0.7517865463400301,689.5680199689701,1737711410.3218048,171961605.09517285,201873327.5280202,55.285160947104515,64.90169359106216,Solar,366501307.86999667,7.330026157399933,20180.876841146062,2.825929149241682,2.2583211573654123,3.91435666891815,,2.2583211573654123,LOHC,11431.6340361912,,112916057.86827062,479417365.7382673,9.588347314765345
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,2507879.541912719,1755515679.3389034,0.4767952758852406,1087.275789879638,2739934990.496688,190787300.6371384,303952012.90347797,61.33756786318749,97.71969704670357,Solar,385327003.4119623,7.706540068239246,20065.41623764804,2.84536175312164,2.2716877311541808,3.9271422414821613,,2.2716877311541808,LOHC,11209.626846129968,,113584386.55770904,498911389.9696713,9.978227799393427
