,Longitude,Latitude,Solar Energy Potential,Wind Power Density,Port Code,Port Long.,Port Lat.,Gen-Port Direct Dist.,Gen-Port Driving Dist.,Solar Array Size,Solar CapEx,Wind Turbine Power,No. of Turbines,Wind CapEx,Yearly Cost Solar,Yearly Cost Wind,Elec Cost Solar,Elec Cost Wind,Cheaper source,Yearly gen. cost,Gen. cost per kg H2,Shipping Dist.,NH3 Cost,LOHC Cost,H2 Liq Cost,H2 Gas Cost,Transport Cost per kg H2,Cheapest Medium,Yearly Transport Cost,Total Yearly Cost,Total Cost per kg H2
0,-159.0,56.0,1063.974986076355,472.33026,4944,-152.4157358174603,57.783555,447.5045175597334,491.8272,2735447.542734961,1914813279.9144728,1.4838692748841569,326.8984910436538,823784197.4300076,208099569.37359935,107187822.19140486,71.50087768221105,36.82863634268782,Wind,348970841.40718555,6.9794168281437114,12384.291328202313,2.839591598763933,2.2564198069136214,3.8489425897358145,,2.2564198069136214,LOHC,112820990.34568107,461791831.7528666,9.235836635057332
1,-159.0,59.0,1079.3050062656405,369.35553,4944,-152.4157358174603,57.783555,408.0202428992612,,2696594.330887135,1887616031.6209946,1.1603646196107644,418.03638155426205,1053451681.5167403,205143805.63549092,130579962.74049439,70.48530757732253,44.86593591596474,Wind,372362981.9562751,7.447259639125502,12384.291328202313,2.8201999563992457,2.240626097049433,3.833148879871626,,2.240626097049433,LOHC,112031304.85247166,484394286.80874676,9.687885736174934
2,-135.0,57.0,917.9750382900238,958.34094,3146,-130.00012658113093,55.90287,331.53387693717167,1852.1911,3170508.6083991174,2219356025.879382,3.0107168567383367,161.11598996100142,406012294.7017236,241196903.1741994,64636831.11427874,82.87278211626338,22.208552229008593,Wind,306419850.33005947,6.1283970066011895,11336.583962562787,2.812532397789792,2.234409074049772,3.8179810980425275,,2.234409074049772,LOHC,111720453.7024886,418140304.03254807,8.362806080650962
3,-128.0,55.0,999.0049958229064,1433.1104,3679,-128.6718224560537,53.977895,121.8188056016047,207.8273,2913346.553183769,2039342587.2286382,4.50224910442313,107.74051271155152,271506092.03310984,221633262.44869018,50937077.27206609,76.15091581570381,17.501457319120142,Wind,292720096.4878468,5.854401929756936,11153.916501237696,2.812155042164122,2.2338561172913636,3.8157832411267654,,2.2338561172913636,LOHC,111692805.86456817,404412902.35241497,8.0882580470483
4,-126.0,55.0,1163.9849603176117,77.40454,3679,-128.6718224560537,53.977895,207.160715337916,422.9948,2500416.981676351,1750291887.1734455,0.24317353421849724,1994.7673517374653,5026813726.378412,190219585.2825752,535275663.463726,65.35749853298738,183.9152279593315,Solar,432002604.49835587,8.640052089967117,11153.916501237696,2.812155042164122,2.2338561172913636,3.8157832411267654,,2.2338561172913636,LOHC,111692805.86456817,543695410.3629241,10.87390820725848
5,-125.0,49.0,1168.7299644947052,74.20218,149,-125.00189345292245,48.99731080513448,0.3295997986872414,0.0,2490265.373192813,1743185761.234969,0.2331130235683475,2080.8559703806095,5243757045.359136,189447300.19179204,557371819.691338,65.092149296667,191.5072406118956,Solar,431230319.40757275,8.624606388151454,10346.518913064983,2.8104095268226517,2.1476980588755037,3.7219837538461427,,2.1476980588755037,LOHC,107384902.94377519,538615222.3513479,10.772304447026958
6,-125.0,54.0,1163.2550132274628,239.63728,3679,-128.6718224560537,53.977895,240.8319630722674,481.9606,2501986.0031541693,1751390202.2079184,0.7528427183742403,644.3239936134172,1623696463.9058113,190338948.81953612,188660653.39669812,65.39851062004574,64.82186552604499,Wind,430443672.61247885,8.608873452249577,11153.916501237696,2.812155042164122,2.2338561172913636,3.8157832411267654,,2.2338561172913636,LOHC,111692805.86456817,542136478.477047,10.842729569540941
7,-124.0,45.0,1292.099986076355,257.66876,3837,-123.9061330086587,46.18408,131.80625344692854,171.9273,2252494.2284319787,1576745959.902385,0.8094902834755917,599.2346502084949,1510071318.5254073,171358825.79731464,177087681.36185235,58.877135017538876,60.845511032021065,Solar,413141845.0130954,8.262836900261908,10161.197736274406,2.809989672364913,2.23068310015985,3.8031713369583207,,2.23068310015985,LOHC,111534155.0079925,524676000.0210879,10.493520000421757
8,-124.0,52.0,1376.0499930381775,239.30109,2283,-123.90600187203916,49.17560352478176,314.2572302797283,948.8323,2115074.1440491267,1480551900.8343887,0.7517865463400301,645.2291933490844,1625977567.2396927,160904572.90575194,188892988.80980778,55.285160947104515,64.90169359106216,Solar,402687592.1215327,8.053751842430653,10642.00225005935,2.8110636492740917,2.232256848502013,3.8094265705274943,,2.232256848502013,LOHC,111612842.42510065,514300434.54663336,10.286008690932666
9,-124.0,54.0,1240.2700006961825,151.76865,4295,-127.11577535720149,50.599415,433.904714189744,1335.193,2346624.331444243,1642637032.01097,0.4767952758852406,1017.3645826608898,2563758748.3054423,178519787.0645009,284408073.4941373,61.33756786318749,97.71969704670359,Solar,420302806.2802816,8.406056125605632,11036.080052328607,2.831474212447386,2.2470564715523027,3.8279081350152397,,2.2470564715523027,LOHC,112352823.57761514,532655629.85789675,10.653112597157936
