,trip_count,prev_port,next_port,distance,frequency
6372790,2042321,27373,27913,85.93240486399365,0.8571428571428571
6417347,2633072,1973,2560,20336.155526313523,1.0
6446316,2936476,6989,2560,4993.211506955498,1.0
6210299,81698,23528,43317,1637.3172622591562,1.0
6306655,1318596,18641,3118,155.32025015037323,0.35555555555555557
6382609,2261983,18641,3118,72.76802742284802,0.6444444444444445
6210528,81779,2033,7019,1293.44254549061,1.0
6776454,3052989,2171,449,8671.814021697157,0.23076923076923078
6583310,1199059,2171,449,8499.158432871394,0.7692307692307693
6641700,1805520,2460,2171,4330.114849915014,1.0
6310695,1348852,2153,2460,33.34387921739687,1.0
6210624,97814,2460,449,18.48001859448707,1.0
6377193,2160057,2559,6761,119.39600623563484,1.0
7299451,908859,2171,2355,12221.834397745875,0.24489795918367346
7346355,1817826,2171,2355,5075.461472791188,0.7551020408163265
6332349,1614664,2297,28998,7045.942326749321,1.0
6383468,2273086,1934,2559,7701.9141565880755,0.4444444444444444
6454993,3044498,1934,2559,15561.21920118304,0.5555555555555556
6274155,939276,43317,43317,0.7655508502483171,1.0
6235355,289800,3486,2458,4901.746683925612,0.375
6210882,97835,3486,2458,4964.98024548968,0.625
6604831,1443713,3042,2033,7626.387202912392,0.18
6709335,2511103,3042,2033,8920.892978016034,0.82
6419658,2637979,2211,34,11639.333427321939,0.4117647058823529
6419119,2637961,2211,34,8361.85678361415,0.5882352941176471
6375596,2108611,2518,2171,8769.524983515796,1.0
6289210,1071718,2102,27090,9933.271682372031,1.0
6455381,3044649,27090,2164,634.6691402142226,0.3333333333333333
6264100,795591,27090,2164,484.8859885653065,0.6666666666666666
6716953,2552367,2164,2102,4864.947682478625,1.0
6503738,469004,2102,2111,9476.834347772387,0.3142857142857143
6724084,2620992,2102,2111,9740.6498014658,0.6857142857142857
6342789,1717897,1975,29549,7787.347127789107,1.0
6716095,2552327,3128,2209,5841.339436135022,1.0
6434521,2808527,2209,2325,9329.757941276699,1.0
6430152,2733901,2325,3042,11188.686334411203,0.375
6372759,2034572,2325,3042,7029.137721723675,0.625
6422741,2663819,3042,1997,10928.918142716771,1.0
6326118,1547199,1934,2180,7262.469485696228,0.18181818181818182
6326689,1550090,1934,2180,7420.9877585294,0.8181818181818182
6394443,2348542,43314,3063,2320.050626417817,1.0
6392174,2328945,3063,2355,3205.887443889497,1.0
6271638,908864,2355,3042,9220.255057997465,1.0
6317482,1479898,4051,2209,1502.084996887752,1.0
6318028,1480754,2325,2211,8120.245072754085,1.0
6290098,1088437,3165,2033,40.74121755825489,1.0
6457852,3074823,2033,24980,1340.017879467796,1.0
6211032,99437,3860,3860,51.45044569219841,1.0
6327349,1559321,3648,25354,9035.555356606345,0.4166666666666667
6346020,1757509,3648,25354,10036.581425583865,0.5833333333333334
6334715,1659346,25354,1934,14651.072544740033,1.0
6456350,3065952,2171,2040,12878.975276144583,0.29411764705882354
6362722,1922119,2171,2040,4546.177601607314,0.7058823529411765
6253043,525371,3835,2171,10087.150454352934,0.14285714285714285
6365256,1936890,3835,2171,4495.645314766791,0.8571428571428571
7484805,908449,2171,2359,10995.742776967803,0.48
7431623,100104,2171,2359,8301.42192136273,0.52
6273223,908926,2359,15312,269.66518058437856,1.0
6211112,100105,2359,2147,273.05408429161105,0.46153846153846156
6272943,908870,2359,2147,272.8729722400114,0.5384615384615384
6556299,1028031,2147,2171,10120.3365003364,0.1875
6775353,3041367,2147,2171,10766.916169016455,0.8125
7004851,2625801,2171,3237,10301.58483901896,0.3
6940052,1817830,2171,3237,8749.427303092096,0.7
6875833,1154985,3237,2171,11118.021677091621,0.08
7017792,2738758,3237,2171,4401.094403672352,0.92
6364516,1936221,3237,3042,10527.411257073096,0.4
6360173,1901873,3237,3042,8937.36756523808,0.6
6212357,100117,3042,2359,6220.808140410088,0.375
6272766,908865,3042,2359,8838.14781615175,0.625
6273039,908874,2359,2148,291.8314726152741,0.43478260869565216
6273131,908918,2359,2148,274.35601680408536,0.5652173913043478
6243184,440397,18409,2211,14.712575014080759,1.0
6270457,908482,2211,2359,9681.318142453056,1.0
6287691,1027986,2148,2171,12491.146966818305,0.3888888888888889
6371752,2021762,2148,2171,11736.791796502685,0.6111111111111112
6809561,351923,2559,4051,2922.8418821855066,1.0
6545118,908920,2063,2171,10977.501218426507,0.25806451612903225
6664725,1936651,2063,2171,10843.74024771225,0.7419354838709677
6665386,1936662,2355,2171,8924.99716898698,0.22857142857142856
6643906,1817827,2355,2171,11590.936998626323,0.7714285714285715
6233205,264707,2359,2458,259.4973616507929,0.4666666666666667
6274021,932185,2359,2458,409.9789364099755,0.5333333333333333
6214115,100726,16816,25353,9369.084830080916,1.0
6306133,1286762,25353,2323,13524.11731232647,1.0
6333986,1657740,2011,4092,3000.25628078026,1.0
6362075,1916659,4092,3501,9148.82153009893,1.0
6340788,1711058,1939,16816,24444.04317787108,1.0
6627329,1710518,6823,6868,25948.24303199757,0.46153846153846156
6657328,1876129,6823,6868,9125.253678696712,0.5384615384615384
6258311,625338,2005,3434,11630.100348532691,0.42857142857142855
6357703,1888793,2005,3434,10630.397844000096,0.5714285714285714
6304120,1271396,25181,2040,310.7961285453996,1.0
6297928,1191813,2041,3042,6727.603182110538,1.0
6405026,2448328,3962,7007,926.2692306212765,1.0
6301997,1243496,7007,3275,13746.448729093278,0.125
6307708,1332595,7007,3275,12868.336751404722,0.875
6529345,752098,1945,1934,14561.821607150825,0.24390243902439024
6666066,1937423,1945,1934,12825.604670116914,0.7560975609756098
6278867,978603,6984,6985,3.8814908661920176,1.0
6624215,1698009,6985,1975,4947.21871478659,1.0
6402614,2428341,29589,29585,8.238482457827866,1.0
6275909,964603,18319,18325,2.2912161661441566,1.0
6331783,1601912,1997,18291,7383.446609843206,1.0
6368981,2012343,3814,6882,373.14877401749783,1.0
6352092,1826029,1917,911,106.9828037060487,1.0
6337287,1682595,2005,2113,2824.833727201271,1.0
6405149,2461354,2113,3814,2433.418252014517,0.19047619047619047
6359604,1895463,2113,3814,5917.383758750443,0.8095238095238095
6235463,292611,24207,2017,7.586102255689514,0.02
6243173,436533,24207,2017,7.897703231330654,0.02
6263964,783191,24207,2017,4.648990842133673,0.02
6438774,2860063,24207,2017,7.49755763360202,0.02
6345324,1750133,24207,2017,3.9093154843007656,0.46
6367567,1981994,24207,2017,4.270441197102718,0.46
6286370,1026357,3755,5743,3361.4693249611764,1.0
6356950,1883519,1464,2560,1773.1494489715687,1.0
6344418,1745845,2560,15191,14017.97808266111,1.0
6353907,1854650,3269,2949,8021.576001704974,1.0
6313746,1393402,2463,2067,38.3594586752512,1.0
6216408,109484,2067,3269,23597.329200854037,0.4444444444444444
6436365,2827656,2067,3269,15190.03980346891,0.5555555555555556
6332794,1628370,3493,2817,1625.5847979164257,1.0
6449940,2971761,16816,3553,17792.86712445091,0.4117647058823529
6310045,1336768,16816,3553,22880.312543469034,0.5882352941176471
6235024,283502,3553,2949,113.17141623193154,0.46153846153846156
6238262,322238,3553,2949,121.48127270860097,0.5384615384615384
6382552,2254590,2067,1982,325.2877215128405,0.2564102564102564
6458771,3086549,2067,1982,322.2579532555532,0.7435897435897436
6262040,682878,6999,2113,994.5158218733767,1.0
6325639,1541437,2113,3837,12318.310958841605,0.4117647058823529
6324797,1541420,2113,3837,11455.10683717188,0.5882352941176471
6254696,536876,2959,3553,12437.994416393421,0.5
